id,manifestid,documentid,Full,uploaddatetimejsonmetadata,Folder,File,LABEL,SIGN OUT,ALLIGATOR,CATEGORY 1,CATEGORY 2,CATEGORY 3,POOR QUALITY,NOTES,onpremfilepathjsonmetadata,is_far,is_blurry,is_dark,is_angle,is_glare,is_outside,is_zoom,is_duplicate,ext,labels
180426,43417541,83328644,TRUE,4/7/2023 7:25,328,644-0.jpg,Vogt,4/29,FALSE,pass,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\644-0.jpg,0,0,0,0,0,0,0,0,328\644-0.jpg,pass
180429,43418071,83328656,FALSE,4/7/2023 7:26,328,656-0.jpg,Vogt,4/29,FALSE,pass,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\656-0.jpg,0,0,0,0,0,0,0,0,328\656-0.jpg,pass
180421,43416911,83328720,FALSE,4/7/2023 7:24,328,720-0.jpg,Vogt,4/29,FALSE,pass,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\720-0.jpg,0,0,0,0,0,0,0,0,328\720-0.jpg,pass
180420,43416841,83328779,TRUE,4/7/2023 7:24,328,779-0.jpg,Vogt,4/29,TRUE,airbag,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\779-0.jpg,0,0,0,0,0,0,0,0,328\779-0.jpg,airbag
180422,43416961,83328780,TRUE,4/7/2023 7:24,328,780-0.jpg,Vogt,4/29,FALSE,pass,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\780-0.jpg,0,0,0,0,0,0,0,0,328\780-0.jpg,pass
180423,43416961,83328781,FALSE,4/7/2023 7:24,328,781-0.jpg,Vogt,4/29,FALSE,pass,,,TRUE,return to level? dont think its needed,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\781-0.jpg,0,0,0,0,0,0,0,0,328\781-0.jpg,pass
180424,43416961,83328782,FALSE,4/7/2023 7:24,328,782-0.jpg,Vogt,4/29,FALSE,airbag,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\782-0.jpg,0,0,0,0,0,0,0,0,328\782-0.jpg,airbag
180425,43416961,83328783,FALSE,4/7/2023 7:24,328,783-0.jpg,Vogt,4/29,FALSE,return to level,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\783-0.jpg,0,0,0,0,0,0,0,0,328\783-0.jpg,return to level
180427,43417881,83328784,TRUE,4/7/2023 7:25,328,784-0.jpg,Vogt,4/29,FALSE,pass,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\784-0.jpg,0,0,0,0,0,0,0,0,328\784-0.jpg,pass
180428,43418021,83328786,TRUE,4/7/2023 7:26,328,786-0.jpg,Vogt,4/29,FALSE,pass,,,FALSE,,\\\\offtffs01\\Transflo\\Storage\\LHTRAILER\\Cust2\\000\\083\\328\\786-0.jpg,0,0,0,0,0,0,0,0,328\786-0.jpg,pass
